# Results of 3-body simulation of HD 147018 b with general relativity (GR) and tides.
# Integration is performed using REBOUND and REBOUNDx.
# All angular terms are in radians. 
# Column momenclature breaks down as follows:
# times = integration times [years]
# a = semi-major axix [AU]
# e = eccentricity
# inc = inclination [rad]
# Omega = longitude of ascending node [rad]
# pomega = longitude of pericenter [rad]
# Parameter '1' (e.g., inc1, Omega1) denotes warm Jupiter (HD 147018 b)
# Parameter '2' (e.g., inc2, Omega2) denotes HD 147018 c
# _00 = GR off, tides off
# _01 = GR off, tides on
# _10 = GR on, tides off
# _11 = GR on, tides on
#
times,a1_00,e1_00,inc1_00,inc2_00,Omega1_00,Omega2_00,pomega1_00,pomega2_00,a1_01,e1_01,inc1_01,inc2_01,Omega1_01,Omega2_01,pomega1_01,pomega2_01,a1_10,e1_10,inc1_10,inc2_10,Omega1_10,Omega2_10,pomega1_10,pomega2_10,a1_11,e1_11,inc1_11,inc2_11,Omega1_11,Omega2_11,pomega1_11,pomega2_11
14.114114114114114,0.2389032483845471,0.4709401165808332,0.6198378750542624,0.05908587035153258,-0.012246180154025786,3.141592653589793,1.148186498624179,5.530337534331833,0.23890309841436477,0.41835589735136824,0.6200612844404458,0.05908587035153258,-0.011448062346650774,3.141592653589793,1.1482943981513067,5.530337534332647,0.23890442774615314,0.470942214668844,0.6198380769531626,0.05908587035153446,-0.01224655909068861,3.141592653589793,1.1482936178067,5.530338030831288,0.23890411673356943,0.41835724151149783,0.62006145331239,0.05908587035140285,-0.011448353734850012,3.141592653589793,1.1483980640850806,5.530338030830352
14.164164164164163,0.23890176135579716,0.47093125976857547,0.619823634663517,0.05908587035153258,-0.012358608439907532,3.141592653589793,1.148236483581887,5.5303375343318315,0.23890147447104562,0.4182063812607695,0.6200495907904853,0.05908587035153258,-0.011548947301245312,3.141592653589793,1.1483572471699361,5.530337534332688,0.2389029493004716,0.47093327943255975,0.6198237589757308,0.05908587035153258,-0.012359024168268009,3.141592653589793,1.1483438771287224,5.530338039290296,0.23890249855014412,0.4182076404953267,0.6200496913660783,0.059085870351419774,-0.011549271178567725,3.141592653589793,1.1484612578894666,5.530338039289436
14.214214214214213,0.23889832218732604,0.47093003796420463,0.6198281410057771,0.05908587035153258,-0.012373462456894763,3.141592653589793,1.1482429160930487,5.530337534331833,0.23889842358252064,0.4180651356157599,0.6200542073869164,0.05908587035153258,-0.011563625683832117,3.141592653589793,1.148357162826864,5.5303375343326735,0.23889950114279684,0.47093211917726685,0.6198283103858299,0.05908587035153258,-0.012373949592784586,3.141592653589793,1.148350814349094,5.530338047947817,0.2388994395339317,0.4180664471367716,0.6200543437718352,0.05908587035137841,-0.01156400637175666,3.141592653589793,1.1484615419521702,5.530338047946951
14.264264264264266,0.2389050219105301,0.470889025537954,0.6198004648454656,0.05908587035153258,-0.01244911531888202,3.141592653589793,1.148272386856881,5.530337534331832,0.23890499235342072,0.41788338087224763,0.6200297799869312,0.05908587035153258,-0.011629998743571361,3.141592653589793,1.1483906848242957,5.530337534332669,0.23890622051768304,0.4708911227019189,0.6198006319201529,0.05908587035153446,-0.012449456596271516,3.141592653589793,1.1483806199428137,5.530338056720935,0.23890602757721383,0.4178847123481999,0.6200299165105213,0.05908587035140661,-0.011630253275346654,3.141592653589793,1.1484954468083561,5.530338056720074
14.314314314314316,0.23890202138963282,0.47088640035166107,0.6198092252336229,0.05908587035153258,-0.012501845890549148,3.141592653589793,1.1483061619299075,5.530337534331832,0.23890218361093282,0.4177422890688826,0.6200388624864472,0.05908587035153258,-0.011676823508156539,3.141592653589793,1.1484338319753116,5.5303375343327055,0.23890303130128837,0.47088807228836166,0.6198093837091296,0.05908587035153258,-0.012502307806611374,3.141592653589793,1.1484146399821455,5.530338065549024,0.23890306532016675,0.4177432268906566,0.6200389952788357,0.05908587035141413,-0.011677172739211625,3.141592653589793,1.1485388134508816,5.530338065548188
14.364364364364365,0.2389007688578344,0.47085890733779007,0.6198023738958183,0.05908587035153258,-0.012524555276616924,3.141592653589793,1.14828707113946,5.5303375343318315,0.2389007117046889,0.41757565135666574,0.6200347106226448,0.05908587035153258,-0.011697385660168811,3.141592653589793,1.1484062123681265,5.53033753433272,0.23890196758456791,0.47086105633594044,0.6198025725118241,0.05908587035153258,-0.01252495316015611,3.141592653589793,1.1483961367663222,5.530338074390042,0.2389017450750359,0.41757702675663244,0.6200348760735218,0.059085870351419774,-0.011697690445587302,3.141592653589793,1.1485117369318454,5.530338074389245
14.414414414414415,0.23890329735702867,0.4708222816361558,0.6198011331942708,0.05908587035153258,-0.012606882670344864,3.141592653589793,1.1482839457804528,5.530337534331832,0.23890292208104516,0.41739986752790176,0.6200353508616742,0.05908587035153258,-0.011771659691788153,3.141592653589793,1.1484113218741687,5.530337534332787,0.23890447746634477,0.4708243213658205,0.6198012758562248,0.05908587035153258,-0.012607331224604279,3.141592653589793,1.148393358499904,5.530338083217119,0.23890393503932922,0.41740112188705614,0.6200354675535223,0.05908587035140473,-0.011772009147990046,3.141592653589793,1.148517255109416,5.530338083216362
14.464464464464465,0.23889842365941655,0.47082100011900535,0.6198112406517722,0.05908587035153258,-0.012614658505246314,3.141592653589793,1.1482629221721201,5.5303375343318315,0.238898630300355,0.41726089323656557,0.620046000357699,0.0590858703515307,-0.011780500768494578,3.141592653589793,1.1483863935430627,5.530337534332854,0.23889963889606,0.47082310769103275,0.6198114103089363,0.05908587035153258,-0.01261514575460204,3.141592653589793,1.148372844964023,5.530338092015558,0.2388996772033454,0.4172622170051828,0.6200461371904281,0.05908587035137841,-0.011780880359171533,3.141592653589793,1.1484927097497275,5.530338092014865
14.514514514514515,0.2389042690206357,0.4707759682042503,0.619800947770063,0.05908587035153258,-0.012664448851398906,3.141592653589793,1.1482304548120938,5.5303375343318315,0.23890432889220256,0.4170773829465163,0.6200377754910842,0.0590858703515307,-0.011824656864129403,3.141592653589793,1.1483497596249035,5.5303375343328565,0.2389054747291947,0.4707781160070732,0.6198011170770303,0.05908587035153446,-0.012664828576378908,3.141592653589793,1.148340654255528,5.530338100780185,0.23890536688311687,0.4170787457239039,0.6200379135778769,0.05908587035136525,-0.01182494210815109,3.141592653589793,1.148456397618935,5.530338100779538
14.564564564564565,0.23890357125733838,0.47076397057263414,0.6198114954250596,0.05908587035153258,-0.01269536501369799,3.141592653589793,1.148234709724984,5.5303375343318315,0.2389036165432769,0.41692741016818147,0.620048586831163,0.0590858703515307,-0.011852640057180735,3.141592653589793,1.1483642779827767,5.530337534332849,0.23890470914374876,0.47076591765928255,0.61981164773037,0.05908587035153258,-0.012695821861389707,3.141592653589793,1.148345145872093,5.53033810951303,0.23890458593959243,0.4169285527965341,0.620048712982219,0.05908587035136525,-0.011852983016027274,3.141592653589793,1.1484710164375986,5.530338109512406
