NAME,R,RUPPER,RLOWER,UR,MSINI,A,PER,PERUPPER,PERLOWER,UPER,ECC,MASS,MASSUPPER,MASSLOWER,UMASS
,rearth,rearth,rearth,rearth,mjupiter,au,day,day,day,day,,mearth,mearth,mearth,mearth
Kepler-427 b,13.787046299054577,2.353885953497123,2.353885953497123,2.353885953497123,0.310432,0.091351,10.290994,0.0000011,0.0000011,0.0000011,0,92.16681731445213,28.60349502862308,28.60349502862308,28.60349502862308
Kepler-628 b,8.395526567473071,0.000560449036546934,3.037073329047836,1.5188168890421914,,0.121444,15.4580567,0.00000295,0.00000295,0.00000295,0,77.35306723912825,34.59560942050819,34.59560942050819,34.59560942050819
Kepler-359 c,4.299989188002696,1.9999960138599266,1.9999960138599266,1.9999960138599266,,0.292189,57.68802,0.000545,0.000545,0.000545,,19.31654404439088,13.760760078336848,13.760760078336848,13.760760078336848
Kepler-706 b,13.17055235885295,0.0032506044119722174,2.0704108308116838,1.0368307176118279,,0.223617,41.40831347,0.00000696,0.00000696,0.00000696,0,317.8166114291453,0,0,0
K2-11 b,15.198369062887066,,,,,0.25272,39.93767,0.23229,0.23229,0.23229,0,317.8166114291453,317.8166114291453,317.8166114291453,317.8166114291453
Kepler-405 c,4.659988022138254,26.649912136843255,26.649912136843255,26.649912136843255,,0.187804,29.726682,0.011477,0.011477,0.011477,,22.796032087978304,295.02057934116704,295.02057934116704,295.02057934116704
Kepler-702 b,9.168946237907841,0.007285837475110142,1.416254715354102,0.7117702764146062,,0.0907551,10.52629406,0.0000019,0.0000019,0.0000019,0,168.91476172541928,45.07084493321281,45.07084493321281,45.07084493321281
Kepler-516 b,5.738998134240604,0.0006725388438563208,2.5886020100029787,1.2946372744234176,,0.195757,24.85462415,0.00002819,0.00002819,0.00002819,0,35.009724465200364,14.333402048809882,14.333402048809882,14.333402048809882
K2-99 b,14.588600511124001,0.5142568269547357,0.5142568269547357,0.5142568269547357,0.974675,0.158693,18.249,0.001,0.001,0.001,0.19,310.0177096012855,27.11878294667068,27.11878294667068,27.11878294667068
CoRoT-24 c,4.7963452727301235,0.5110263987080792,0.5110263987080792,0.5110263987080792,0.0872135,0.0980725,11.759,0.0063,0.0063,0.0063,0,27.722094220146634,9.855493120417796,9.855493120417796,9.855493120417796
Kepler-966 b,4.124904908985434,0.048198617143036325,1.7004023768833978,0.8743004970132171,,0.423716,99.747622,0.0004523,0.0004523,0.0004523,0,17.731243004921158,7.68334370794416,7.68334370794416,7.68334370794416
K2-24 c,8.018893605932801,0.7350894399272511,0.7350894399272511,0.7350894399272511,0.0980475,0.246993,42.3633,0.0006,0.0006,0.0006,0,31.16141024404941,6.5502957065381135,6.5502957065381135,6.5502957065381135
Kepler-682 b,7.375509320957652,0.007285837475110142,1.2705379658518994,0.6389119016635048,,0.103131,12.61190667,0.00000646,0.00000646,0.00000646,0,52.136861655117,11.744181897157777,11.744181897157777,11.744181897157777
HAT-P-17 b,11.321070538248067,0.3250604411972217,0.3250604411972217,0.3250604411972217,0.530106,0.0882385,10.338523,0.000009,0.000009,0.000009,0.346,168.49301908205283,6.204384106658631,6.204384106658631,6.204384106658631
WASP-117 b,11.444369326288392,0.8518825355513397,0.7285837475110142,0.7902331415311769,0.27543,0.0946483,10.02165,0.00055,0.00055,0.00055,0.302,87.55847644872955,2.8603495028623076,2.8603495028623076,2.8603495028623076
Kepler-458 c,4.203367774102005,0.002241796146187736,1.0289844311001708,0.5156131136231793,,0.146743,20.74028413,0.0000335,0.0000335,0.0000335,0,18.433045646278998,5.031672592146228,5.031672592146228,5.031672592146228
Kepler-118 c,7.6799900735328706,3.4299929395901603,3.4299929395901603,3.4299929395901603,,0.145024,20.17202,0.000013,0.000013,0.000013,,58.706131013357435,39.84943582404338,39.84943582404338,39.84943582404338
Kepler-103 c,5.139530635769273,0.139986718552547,0.139986718552547,0.139986718552547,,0.64119,179.612,,,,0,27.892602832178362,1.5424402912523854,1.5424402912523854,1.5424402912523854
CoRoT-9 b,11.769429767485613,0.44835922923754723,0.44835922923754723,0.44835922923754723,0.843564,0.406991,95.2738,0.0014,0.0014,0.0014,0.11,268.09865200361554,23.005981741488398,23.005981741488398,23.005981741488398
PH-1 b,6.174478244618303,0.1398746287452376,0.1398746287452376,0.1398746287452376,,0.629412,138.506,0.107,0.09200000000000001,0.0995,0.0539,31.920547002109068,6.905487551471326,6.905487551471326,6.905487551471326
