NAME,R,MSINI,A,PER,ECC,MASS
,rearth,mjupiter,au,day,,mearth
GJ 3293 c,,0.0668751,0.361757,122.61917047,0.117135,21.254017670985238
WASP-153 b,17.75311995108261,0.392338,0.0480956,3.332609,0,125.35577041277493
Kepler-1061 b,1.9839895893761463,,0.0396104,2.75798267,0,4.654106457768404
Kepler-134 c,1.260001523964817,,0.0914787,10.105785,,2.0860020417796523
Kepler-126 b,1.5199938320189397,,0.0938169,10.495711,,3.9118775434367783
Kepler-329 c,1.9299959291952147,,0.137805,18.684737,,4.51960646781159
Kepler-766 b,3.3851121807434814,,0.0674482,6.10027804,0,10.976591217234105
Kepler-131 b,2.409998111036202,0.0497212,0.12557,16.092,0,16.72929435572964
WASP-72 b,11.321070538248067,1.40552,0.036575,2.216726,0,447.3936220749222
Kepler-887 b,1.8382728398739436,,0.15495,20.42228798,0,4.301902088982625
Kepler-819 b,2.7574092598109154,,0.192248,33.1995648,0,7.3179499497840705
HD 212771 b,,2.70016,1.16471,373.3,0.111,858.1557015165209
WASP-47 d,3.6294679606779447,,0.0854327,9.03081,,12.896235331927286
HD 109271 b,,0.0546827,0.0785237,7.8543,0.25,17.379070417796523
Kepler-1650 b,0.9779779642840344,,0.0182725,1.53818001,0.01,0.855800680425831
Kepler-135 b,1.8099925814897855,,0.0646392,6.00253,,4.23728997187908
HD 134987 b,,1.56347,0.807929,258.18,0.233,496.89673747112585
Kepler-441 b,1.6400083887051002,,0.568939,207.2482,0,3.870148222356131
Kepler-149 b,4.2099922817139905,,0.185574,29.198943,,18.492954077533394
Kepler-1228 b,1.5356303601385994,,0.0124913,0.57736958,0,3.6594993723008935
Kepler-289 c,13.039967733337516,,0.491526,125.866438,,317.8166114291453
Kepler-956 b,3.004006835891566,,0.0610151,5.24867263,0,8.55908738073717
HD 187123 c,,1.9422,4.83146,3805.6705,0.252086,617.263422717686
HD 101930 b,,0.299187,0.302019,70.459999,0.11,95.0865985236517
Kepler-46 c,,,0.280101,57.011,0.0146,119.49904589735863
Kepler-1281 b,1.6365111867170472,,0.0398578,3.11602791,0,3.86293378527669
