NAME,A,PER,ECC,R,RUPPER,RLOWER,UR,MASS,MASSUPPER,MASSLOWER,UMASS
,au,day,,rearth,rearth,rearth,rearth,mearth,mearth,mearth,mearth
K2-11 b,0.25272,39.93767,0,15.198369062887066,,,,317.8166114291453,317.8166114291453,317.8166114291453,317.8166114291453
K2-99 b,0.158693,18.249,0.19,14.588600511124001,0.5142568269547357,0.5142568269547357,0.5142568269547357,310.0177096012855,27.11878294667068,27.11878294667068,27.11878294667068
Kepler-470 b,0.185532,24.66919569,0,14.43716718144902,0.0006725388438563208,8.495734855207663,4.24820369702576,317.8166114291453,157.09992919554082,157.09992919554082,157.09992919554082
Kepler-699 b,0.167447,27.80756293,0,14.112106740251798,0.0039231432558285385,2.5965603863219457,1.3002417647888869,317.8166114291453,0,0,0
Kepler-427 b,0.091351,10.290994,0,13.787046299054577,2.353885953497123,2.353885953497123,2.353885953497123,92.16681731445213,28.60349502862308,28.60349502862308,28.60349502862308
Kepler-39 b,0.155007,21.0874,0.121,13.67495649174519,1.3450776877126416,1.120898073093868,1.2329878804032548,5778.064904087576,228.13257748317764,228.13257748317764,228.13257748317764
Kepler-87 b,0.477022,114.73635,0.036,13.562866684435804,0.06725388438563208,0.06725388438563208,0.06725388438563208,324.18565632218537,8.79964277392789,8.79964277392789,8.79964277392789
Kepler-418 b,0.380735,86.67856,0.2,13.423651143757546,1.7758836531255389,1.7758836531255389,1.7758836531255389,317.8166114291453,0,0,0
Kepler-468 b,0.220045,38.47875707,0,13.338687069817029,0.0010088082657844812,0.615485131935843,0.3082469701008137,317.8166114291453,0,0,0
Kepler-706 b,0.223617,41.40831347,0,13.17055235885295,0.0032506044119722174,2.0704108308116838,1.0368307176118279,317.8166114291453,0,0,0
Kepler-289 c,0.491526,125.866438,,13.039967733337516,2.449991754284191,2.449991754284191,2.449991754284191,317.8166114291453,123.23974741387968,123.23974741387968,123.23974741387968
Kepler-432 b,0.301404,52.501129,0.5134,12.834282936924788,0.40352330631379246,0.43715024850660855,0.42033677741020053,1719.3878678316762,101.7013156573265,57.20699005724616,79.45415285728633
Kepler-434 b,0.114265,12.8747099,0.131,12.666148225960708,2.9143349900440567,2.0176165315689625,2.4659757608065096,908.9555086873555,111.23581400020085,111.23581400020085,111.23581400020085
Kepler-302 c,0.495205,127.282184,,12.449926987660904,2.5399998695536286,2.5399998695536286,2.5399998695536286,317.8166114291453,175.7913597469117,175.7913597469117,175.7913597469117
Kepler-30 c,0.300013,60.3231,0.0111,12.288966024364623,0.3996427571847415,0.3996427571847415,0.3996427571847415,640.0349829265843,50.00272310937029,50.00272310937029,50.00272310937029
HAT-P-15 b,0.0964692,10.863502,0.19,12.016027343566265,0.48198617143036326,0.48198617143036326,0.48198617143036326,620.2318298684343,24.024202601185095,24.024202601185095,24.024202601185095
CoRoT-9 b,0.406991,95.2738,0.11,11.769429767485613,0.44835922923754723,0.44835922923754723,0.44835922923754723,268.09865200361554,23.005981741488398,23.005981741488398,23.005981741488398
HD 80606 b,0.447343,111.4367,0.934,11.5340411721359,0.19055267242595758,0.19055267242595758,0.19055267242595758,1236.478239429547,59.775901727427936,59.775901727427936,59.775901727427936
WASP-117 b,0.0946483,10.02165,0.302,11.444369326288392,0.8518825355513397,0.7285837475110142,0.7902331415311769,87.55847644872955,2.8603495028623076,2.8603495028623076,2.8603495028623076
HD 17156 b,0.163197,21.21663,0.6819,11.433160345557454,0.8967184584750945,0.8967184584750945,0.8967184584750945,1049.6688133976097,35.45562117103545,35.45562117103545,35.45562117103545
Kepler-487 b,0.117181,15.3587684,0,11.421951364826514,0.004259412677756699,1.2175194869945594,0.6108894498361581,317.8166114291453,99.49789309028823,99.49789309028823,99.49789309028823
HAT-P-17 b,0.0882385,10.338523,0.346,11.321070538248067,0.3250604411972217,0.3250604411972217,0.3250604411972217,168.49301908205283,6.204384106658631,6.204384106658631,6.204384106658631
Kepler-117 c,0.268407,50.790412,,11.2999976544739,2.1399961831893513,2.1399961831893513,2.1399961831893513,293.5843660741187,189.3599043386562,189.3599043386562,189.3599043386562
Kepler-486 b,0.176071,30.36044667,0,10.996010097050846,0.0030264247973534435,0.9609459180633729,0.48198617143036326,242.20803957015164,54.83830285226473,54.83830285226473,54.83830285226473
