date,datetag,datetime,file,runtime,notes
2019-11-29,nan,nan,nan,nan,nan
2019-12-04,20191204T075429,07:54:29,sa20191204T075429.bin,5.672781,nan
2019-12-04,20191204T075509,07:55:09,sa20191204T075509.bin,5.592487,nan
2019-12-04,20191204T075812,07:58:12,sa20191204T075812.bin,4.475579,nan
2019-12-04,20191204T075916,07:59:16,sa20191204T075916.bin,5.037205999999999,nan
2019-12-04,20191204T080146,08:01:46,sa20191204T080146.bin,0.233363,nan
2019-12-04,20191204T080221,08:02:21,sa20191204T080221.bin,0.258283,nan
2019-12-04,20191204T080243,08:02:43,sa20191204T080243.bin,0.237454,nan
2019-12-04,20191204T080255,08:02:55,sa20191204T080255.bin,18.762034,nan
2019-12-04,20191204T080532,08:05:32,sa20191204T080532.bin,39.983276,nan
2019-12-04,20191204T080628,08:06:28,sa20191204T080628.bin,1.059321,nan
2019-12-04,20191204T080640,08:06:40,sa20191204T080640.bin,4.0603620000000005,nan
2019-12-04,20191204T080703,08:07:03,sa20191204T080703.bin,4.163689,nan
2019-12-04,20191204T080728,08:07:28,sa20191204T080728.bin,13.329193,nan
2019-12-04,20191204T080810,08:08:10,sa20191204T080810.bin,10.791828,nan
2019-12-04,20191204T081036,08:10:36,sa20191204T081036.bin,131.521295,nan
2019-12-04,20191204T081610,08:16:10,sa20191204T081610.bin,4.082001999999999,nan
2019-12-04,20191204T081633,08:16:33,sa20191204T081633.bin,2.832916,nan
2019-12-04,20191204T081651,08:16:51,sa20191204T081651.bin,6.955825999999999,nan
2019-12-04,20191204T081705,08:17:05,sa20191204T081705.bin,4.943813,nan
2019-12-04,20191204T081723,08:17:23,sa20191204T081723.bin,30.225797999999998,nan
2019-12-04,20191204T082242,08:22:42,sa20191204T082242.bin,18.16275,nan
2019-12-04,20191204T082450,08:24:50,sa20191204T082450.bin,36.652837,nan
2019-12-04,20191204T082821,08:28:21,sa20191204T082821.bin,18.384349,nan
2019-12-04,20191204T083511,08:35:11,sa20191204T083511.bin,23.155891,nan
2019-12-04,20191204T090447,09:04:47,sa20191204T090447.bin,27.549121,
