rt0000,rt1100,rt1101,rt1110,rt1111,times (yr)
2.62359,3.057237,2.87964,2.775726,2.753733,1.0
7.201197,6.828198,7.075705,7.129674,7.400686,10.0
7.579684,7.271688,7.801723,8.142689,7.487658,100.0
8.121683,11.250698,12.652713,16.922678,17.866673,999.9999999999999
39.273656,49.149691,55.143729,92.463673,99.68768,10000.0
330.479694,446.148054,520.855681,888.398288,968.402723,100000.0
